test_smile,dmpnn_pre_pro,dmpnn_xgb_pre_pro,morgan_xgb_pre_pro,dmpnn_morgan_xgb_pre_pro,target
NC(=O)C1=C2NCC[C@@H](C3CCN(CC3)C(=O)C=C)N2N=C1C1=CC=C(OC2=CC=CC=C2)C=C1,[0.9998518228530884],0.99964035,0.99796,0.99949706,0.0
NC(=C)C(N)=O,[1.0],0.99937916,7.067741e-05,0.99889344,0.0
COC1=CC(=CC(OC)=C1)C#CC1=NN([C@H]2CCN(C2)C(=O)C=C)C2=C1C(N)=NC=N2,[0.9999282360076904],0.99922013,0.73982155,0.9988587,1.0
CC#CC(=O)N[C@H]1CCCN(C1)C1=C2C(C)=C(C)NC2=C(C=C1F)C(N)=O,[0.9937878251075745],0.99902606,0.61011004,0.99903774,0.0
CN1CCN(CC1)C1=CC=C(NC2=NC3=C(C=CN3)C(OC3=CC(NC(=O)C=C)=CC=C3)=N2)C=C1F,[0.9986026883125305],0.9986267,0.80463326,0.9979121,0.0
NC1=NC=NC(NCC2CCN(CC2)C(=O)C=C)=C1C1=CC=C(OC2=CC=CC=C2)C=C1,[0.9984643459320068],0.9984561,0.98381907,0.9978788,0.0
CC(C)N1C=NN=C1C1=CC=CC(NC(=O)C2=CC(N3C=NC(=C3)C3CC3)=C(C)C=C2F)=N1,[0.4573093354701996],0.998226,0.008203282,0.9984861,0.0
COC1=CC=C(N2CCC3=C2N=C(C)C=C3N2C=CC(=N2)N2CCNC2=O)C(C)=C1,[0.9345425367355347],0.9975351,0.0483127,0.99454075,0.0
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2C(F)(F)F)CC1,[0.9959639310836792],0.9973459,0.9931063,0.9942846,0.0
C=CC(=O)Nc1cccc(-c2ccnc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn23)c1,[0.99681156873703],0.9968851,0.98024106,0.9958335,0.0
C=CC(=O)Nc1cccc(-c2c(N)ncnc2Oc2ccc(Oc3ccccc3)cc2)c1,[0.9994099140167236],0.99686915,0.9080304,0.9949798,0.0
CC1=C(F)C(OC2=CC(=CC=C2)C(N)=N)=[NH+]C(OC2=CC=CC(=C2)C(N)=N)=C1F,[0.9965039491653442],0.99685115,0.0020905044,0.9966407,0.0
CN1C2=C(C=NN2C2=C(F)C=C(F)C=C2)C(NC2=C(C)C=CC(=C2)C(=O)NC2CC2)=CC1=O,[0.8980909585952759],0.9966804,0.3211638,0.9968851,0.0
C1N2CN3CN1CN(C2)C3,[0.9525598883628845],0.99664706,4.295625e-05,0.9928241,0.0
CC1=C(NC2=CC(=CN=C2)C(N)=O)C=C(C=C1)C(=O)NC1=CC=CC(=C1)C(F)(F)F,[0.9363502264022827],0.9956968,0.57249063,0.99401987,0.0
CN1C=C(NC(=O)C2=CC(NC(=O)C3=CC(NC(=O)C4=CC(NC(=O)C(Br)=C)=CN4C)=CN3C)=CN2C)C=C1C(=O)NCCNC(N)=N,[0.9988583326339722],0.995531,0.0013906003,0.9955179,0.0
CN1CCN(CC1)C1CCN(CC1)C(=O)NC1=CC(OC2=CC=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C(F)=C2)=CC=N1,[0.5157126188278198],0.9952604,0.15400477,0.9945516,0.0
NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1[nH]c1ccc(N)cc12,[0.8308139443397522],0.9949196,0.64733195,0.995047,0.0
O=C1CCC2=CC=CC3=C2N1CC3,[0.9667208194732666],0.99441344,0.00064328546,0.9933181,0.0
COCCOC1=CC=C(NC2=NC=C(F)C(NC3=CC=CC(NC(=O)C=C)=C3)=N2)C=C1,[0.9960863590240479],0.9931244,0.9875557,0.991919,0.0
COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,[0.9075454473495483],0.9927269,0.0068148435,0.9880868,0.0
[H][C@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2,[0.21836082637310028],0.99216217,0.0069556558,0.9914283,0.0
CN1N=C(C)C=C1C(=O)NC1=CC(OC2=NN3C=C(NC(=O)C4CC4)N=C3C=C2)=CC=C1C,[0.7966427803039551],0.9918544,0.005345953,0.99539894,0.0
C1CN1C1=NC(=NC(=N1)N1CC1)N1CC1,[0.0496656596660614],0.9912662,0.0001262028,0.9846511,0.0
NC1(CC1)C(O)=O,[0.9952108263969421],0.9910663,4.5725166e-05,0.9859035,0.0
NC(=O)C1=NN(C2=C1C=CC1=C2C=NN1)C1=CC=C(C=C1)S(N)(=O)=O,[0.3712942600250244],0.9901962,0.020292737,0.990221,0.0
CC(O)CN1C=NC2=C1C(=O)N(C)C(=O)N2C,[0.9041716456413269],0.989345,0.006497239,0.9891706,0.0
CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN3CCSC1=C23)C(O)=O,[0.16086620092391968],0.98925155,0.0002867565,0.9852127,0.0
O=C1CCCN1C1=CC=C(OC2=CC3=C(CCN(CC3)C3CCC3)C=C2)N=C1,[0.7502469420433044],0.9878247,0.14724427,0.9805536,0.0
NC(=O)C1=CC(NC2=NC(NC3=C(Cl)C=CC4=C3OCO4)=CC=N2)=CC=C1,[0.917790412902832],0.9868406,0.34553447,0.9898379,0.0
COC1=C(OC2CCN(CC2)C(=O)C=C)C=C2C(NC3=CC=C(Cl)C(Cl)=C3F)=NC=NC2=C1,[0.9926677346229553],0.9859656,0.5125923,0.98602825,0.0
COC1=CC(=CC=C1NC1=NC=C(C(NC2=CC=CC(NC(=O)C=C)=C2)=N1)C(F)(F)F)N1CCN(CC1)C(C)=O,[0.9919764399528503],0.98572737,0.9691607,0.9810929,0.0
CCCN1C2=C(NC(=N2)C23CCC(CCC(O)=O)(CC2)CC3)C(=O)N(CCC)C1=O,[0.0036131558008491993],0.98519427,0.01856008,0.9813168,0.0
C[C@H]1CC[C@H](CN1C(=O)C=C)NC1=NC=NC2=C1C=CN2,[0.9954124093055725],0.9842477,0.12564386,0.98643315,0.0
CN1C2=C(NC=N2)C(=O)N(C)C1=O,[0.9970832467079163],0.98297244,0.0038939756,0.9839336,0.0
CCNC(=O)C1=CN2N=CN=C(NC3=CC(=CC=C3C)C(=O)NOC)C2=C1C,[0.8651379942893982],0.98144794,0.020010693,0.9817379,0.0
CC(C)N1N=CC2=C1C(=O)CC1(CCN(CC1)C(=O)C1=CC=C3N=C(C)NC3=C1)C2,[0.5508201122283936],0.98078835,0.043990377,0.972312,0.0
CCS(=O)(=O)C1=CC=CC(=C1)C1=CC(C(=O)NC2CCN(C)CC2)=C(C)C2=C1C1=C(N2)N=CC(C)=C1,[0.3222671449184418],0.9791126,0.8577695,0.97817856,0.0
CN1CCN(CC1)C1=CC=C(NC2=NC(OC3=CC=CC(NC(=O)C=C)=C3)=C3SC=CC3=N2)C=C1,[0.9836528301239014],0.9782081,0.79259026,0.966409,0.0
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,[0.9965289235115051],0.97682196,0.0046666753,0.9791349,0.0
CN1C2=C(NC(=N)N2)C(=O)N(C)C1=O,[0.9939305782318115],0.9766079,0.0012871952,0.9716377,0.0
CCOC1=C(NC(=O)\C=C\[C@H]2CCCN2C)C=C2C(=C1)N=CC(C#N)=C2NC1=CC=C(OCC2=NC=CC=C2)C(Cl)=C1,[0.9690026044845581],0.9762548,0.8247231,0.9616483,1.0
CCN1C(=O)C(C)(C)C2=CC3=C(C=C12)C1=C(N3)C2=C(CCC1)C(C)=NN2,[0.9074355363845825],0.97260284,0.0010859983,0.95621246,0.0
CCC1=CC(=CC=C1N1N=C(C(C)C)C2=C1N=CC=C2N1C=NC(=C1)C1=CN(C)N=C1)C(N)=O,[0.7242492437362671],0.97154576,0.17948096,0.945827,0.0
CCC1=C(O[C@@H]2CCN(C2)C(=O)C=C)N=C(NC2=CC=C(C=C2)N2CCC(CC2)N2CCN(C)CC2)C(=N1)C(N)=O,[0.8561280369758606],0.97092235,0.7678878,0.97785187,0.0
CC1=CC(=CC(C)=C1)[C@@H]1CCCN1CC1=CC=C(OC2=CC=C(C=C2F)C(N)=O)C=C1,[0.9601378440856934],0.97044253,0.021375082,0.9560212,0.0
OC(=O)C(=O)NC1=CC(=CC(NC(=O)C(O)=O)=C1Cl)C#N,[0.9634333252906799],0.96672297,5.6296896e-05,0.9491267,0.0
OC(=O)N1CCC(CC2=CC(OC3=NC=C(C=C3)C(F)(F)F)=CC=C2)CC1,[0.9437462091445923],0.96572334,0.038973518,0.958403,0.0
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(C(=O)Nc3ccccc3)cc2)CC1,[0.991169810295105],0.9655574,0.887687,0.97216064,0.0
FC1=CC=C(OC2=CC=C(C=N2)C(=O)N2CCCN(CC2)C2CCC2)C=C1,[0.4435107409954071],0.9650773,0.031101068,0.95135295,0.0
CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=C(F)C(C)=C4CC[C@H](N)C3=C14)C2=O,[0.5497929453849792],0.96489346,0.118492216,0.9544921,0.0
C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C(N)=C2C(=O)C(=CN(C3CC3)C2=C1F)C(O)=O,[0.0002390630979789421],0.96427774,0.37649998,0.96572655,0.0
CCN1C(=CC2=C3N(C)C=NC3=C(NC3=NN(C)C(C)=C3)N=C12)C(=O)N(C1CC1)C1CC1,[0.0656084343791008],0.9641339,0.034249946,0.95011264,0.0
[H][C@]12C[C@](O)(C(=O)OC)[C@](C)(O1)N1C3=C(C=CC=C3)C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13,[0.7310753464698792],0.96337646,0.12247645,0.94945407,0.0
C[C@H](NC1=CC=C2C3=NC(=CN3CCOC2=C1)N1[C@@H](COC1=O)C(F)F)C(N)=O,[0.8366966247558594],0.96031404,0.0069548585,0.9461848,0.0
COC1=CC=C2C=CC(=CC2=C1C1=CN(N=C1)S(C)(=O)=O)C(N)=N,[0.9108073115348816],0.95989656,0.005855115,0.91640437,0.0
FC1=C(Cl)C=C(NC2=NC=NC3=CC(OCCCN4CCOCC4)=C(NC(=O)C=C)C=C23)C=C1,[0.8790593147277832],0.9588338,0.8308096,0.9522115,0.0
CN1C=C(NC2=NC=CC(=N2)N2C[C@@H]3CC[C@H](C2)N3C(=O)[C@@H]2CC2(F)F)C=N1,[0.897140383720398],0.95722085,0.120983854,0.9639874,0.0
C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,[0.0755811408162117],0.95530045,0.00092241523,0.9490402,0.0
CN1CCCC1=O,[0.7329937815666199],0.95524794,0.00037475742,0.9301427,0.0
CCN(C(=O)C=CC)C1=CC=CC=C1C,[0.9969088435173035],0.9536848,0.00010219923,0.9379834,0.0
[H][C@]1(CCCN1)C1=CC(NC(=O)NC2=CC=CC3=C2[C@]2([H])CCCN2C3=O)=NN1,[0.41156333684921265],0.9533656,0.35883695,0.9385831,0.0
CC1=CC(=CC=C1N1C(CCC(O)=O)=CC=C1C1=CC=C(C=C1)N1C=CN=C1)C(N)=O,[0.8486579060554504],0.95326215,0.0053298613,0.9152593,0.0
[H][C@]1(C)CN(C[C@@]([H])(C)N1)C1=C(F)C(F)=C2C(=O)C(=CN(C3CC3)C2=C1F)C(O)=O,[2.207900251960382e-05],0.9500409,0.051186442,0.959124,0.0
CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O,[0.32506605982780457],0.9480845,0.008943363,0.9099139,0.0
CCN(CC)CCN1C=NC2=C1C(=O)N(C)C(=O)N2C,[0.26169851422309875],0.9472316,0.0035752773,0.9219824,0.0
CC(C)C1=NCCC2=C1C=C(NC(=O)C1=CC=C3C=C(C=CC3=C1)C(N)=N)C=C2,[0.9840776920318604],0.9465124,0.010289209,0.93526816,0.0
C=CC(=O)NC1=CC=C2N=CN=C(NC3=CC=CC=C3)C2=C1,[0.9993075132369995],0.94558513,0.34136644,0.9394439,0.0
CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,[0.062291115522384644],0.9447781,0.00092241523,0.93774015,0.0
O=C(NC1=CC(=NN1)C1CC1)C1=CC=CC=C1,[0.7606298923492432],0.94393885,0.0038306306,0.91987157,0.0
[H][C@]1(NCCC2=C1C=C(NC(=O)C1=CC=C3C=C(C=CC3=C1)C(N)=N)C=C2)C(C)C,[0.915023922920227],0.9425025,0.0036096966,0.94542,0.0
NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC=C2C=C(C=CC2=C1)C(N)=N,[0.9582950472831726],0.94113445,0.0003267001,0.9402539,0.0
CS(=O)(=O)NC1=CC(NC2=NC(NC3=C(Cl)C=CC4=C3OCO4)=CC=N2)=CC=C1,[0.607752799987793],0.94077075,0.12957671,0.9499166,0.0
COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl,[0.6973412036895752],0.9403613,0.81271434,0.90967023,0.0
CC(C)C1=C(N=C(NC(=O)C2=CC(NC(=O)C3=CC(NC=O)=CN3C)=CN2C)S1)C(=O)NCCCN(C)C,[0.8527247309684753],0.94034773,0.0009226627,0.95119274,0.0
[H][C@]1(C)CN(CCN1)C1=CC=C2N=C(NC3=C(C)C=CC=C3Cl)C3=CN=CN3C2=C1,[0.4261521100997925],0.9379811,0.86143035,0.9251742,0.0
CC1=CC2=C(C=C1C1(CC1)C1=CC=C(C=N1)C(O)=O)C(C)(C)CCC2(C)C,[0.11881691217422485],0.9354537,0.0018953668,0.9174409,0.0
NC1(CCCC1)C(O)=O,[0.6179920434951782],0.93444884,0.000102718615,0.90705884,0.0
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,[0.6711904406547546],0.9331728,0.019668998,0.9365998,0.0
CSC1=CC=CC(NC2=NC=C3C=C(C(=O)N(C)C3=N2)C2=C(Cl)C=CC=C2Cl)=C1,[0.7720150947570801],0.92820364,0.8031216,0.89715475,0.0
CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,[0.0002012438781093806],0.9264379,0.058248363,0.9375756,0.0
CCOC1=CC2=C(C=C1NC(=O)\C=C\CN(C)C)C(NC1=CC(Cl)=C(F)C=C1)=C(C=N2)C#N,[0.9913216233253479],0.9262151,0.7029011,0.9368071,0.0
C[C@]12O[C@H](C[C@]1(O)CO)N1C3=C(C=CC=C3)C3=C1C1=C(C4=C3C(=O)NC4)C3=CC=CC=C3N21,[0.6373975276947021],0.9225693,0.11868698,0.909631,0.0
C=COC=C,[1.0],0.9152161,3.2563163e-05,0.9272126,0.0
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,[0.4932178556919098],0.9126938,0.8897644,0.88582075,0.0
CC(C)(C)C1=CC=C(OC2=CC=C(N)C=N2)C=C1,[0.9903783798217773],0.9090678,0.007946,0.90539336,0.0
N[C@@H]1CCCCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1Cl)C(O)=O,[5.338232949725352e-05],0.90443474,0.003762626,0.8949312,0.0
CCC1=NN(CCO)C(CC)=C1OC1=CC(=CC(=C1)C#N)C#N,[0.28806427121162415],0.903857,0.0024667964,0.888758,0.0
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(O)=O,[0.7576597929000854],0.9010988,0.00016504404,0.87490916,0.0
CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,[0.3363242745399475],0.89863265,0.0002154211,0.8712815,0.0
CN1C(=O)C(=CC2=CN=C(NC3=CC(CO)=CC=C3)N=C12)C1=C(Cl)C=CC=C1Cl,[0.6866053938865662],0.89350134,0.60506094,0.86851263,0.0
NC1CCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1Cl)C(O)=O,[0.0001578979572514072],0.8920886,0.0016662595,0.8951542,0.0
NC(=C)C(O)=O,[1.0],0.8908868,6.639228e-05,0.8958226,0.0
S=P(N1CC1)(N1CC1)N1CC1,[0.09822792559862137],0.8902871,8.015631e-05,0.83118755,0.0
CNC(=O)C1=CC=C2C=C(C=CC2=C1)[C@@]1(O)CCN2C=NC=C12,[0.8951235413551331],0.8870286,0.002248779,0.83844024,0.0
CC1=C(O)C=CC=C1C(=O)NC1=C2C=C(C=CC2=CC=C1)C(N)=N,[0.9713633060455322],0.8869797,0.0059234863,0.8871106,0.0
[H][C@@]12CCCN1C(=O)C1=C(O2)C=C2OCCOC2=C1,[0.9740501046180725],0.8820684,0.00095124147,0.86561114,0.0
O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,[0.10748707503080368],0.88130283,0.0021553403,0.8822544,0.0
CC(C)N1C[C@@H]2C[C@H]1CN2C1=CC=C(NC2=NC=C(N3N=CN=C23)C2=COC(=C2)C(N)=O)C=C1,[0.44610801339149475],0.88094914,0.54835975,0.83456427,0.0
CCN1C(=O)N(CC2=CN=C3NC(CN4CCOCC4)=CC3=C12)C1=C(F)C(OC)=CC(OC)=C1F,[0.5885951519012451],0.8808698,0.34462595,0.8509225,0.0
NC1=NC2=C(N3[C@@H](COC3=O)CN2)C(=O)N1,[0.8858005404472351],0.87854815,0.0019044898,0.89352655,0.0
ClC1=CNC2=C1C(=NC=N2)N1CCC2=C(C1)N=CN2,[0.739959180355072],0.87707007,0.006618414,0.83813864,0.0
CCCN1C2=C(N=C(N2)C2CCCC2)C(=O)N(CCC)C1=O,[4.159126547165215e-05],0.87341946,0.004449662,0.8429553,0.0
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,[0.6241466999053955],0.873205,0.005813755,0.8932703,0.0
OCC(CO)NN1C(=O)C2=C3C(NC4=C3C=CC(O)=C4)=C3N([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C4=C(C=CC(O)=C4)C3=C2C1=O,[0.03385625407099724],0.8648216,0.15244186,0.83840716,0.0
O=C1CNC(=O)[C@@H]2CCCN12,[0.9772243499755859],0.86298025,0.0012253468,0.7942151,0.0
COC[C@H](C)OC1=CC(=CC(OC2=NC=C(N=C2)C(=O)N2CCC2)=C1)C(=O)NC1=NC=C(C)N=C1,[0.14734390377998352],0.8627255,0.076157354,0.8522151,0.0
O=C1CN2C(CCC2=O)N1,[0.9636555314064026],0.86015487,0.00020318234,0.8492312,0.0
CC1=CNC2=C(O)C=C3N(C[C@@H](CCl)C3=C12)C(=O)C1=CC2=CC(NC(=O)NC3=CC=C4NC(=CC4=C3)C(=O)N3C[C@@H](CCl)C4=C5C(C)=CNC5=C(O)C=C34)=CC=C2N1,[0.684607744216919],0.85952073,0.017097559,0.85427916,0.0
[H][C@@]12CN(CC(=O)N1CCC1=CC=CC=C21)C(=O)C1CCCCC1,[0.09833443909883499],0.85922617,0.0021553403,0.82797843,0.0
CN1CCN(CC1)C(O)=O,[0.7107394933700562],0.85865694,0.0003731857,0.84122777,0.0
OC(=O)C=C,[1.0],0.85357004,0.00016719424,0.85968345,0.0
CCOC1=C(NC(=O)\C=C\CN(C)C)C=C2C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C(C=NC2=C1)C#N,[0.9537553191184998],0.8464787,0.76459986,0.79819757,0.0
CCN1CCN(CC1)C1=CC=C(NC2=CC(=NC=N2)N(C)C(=O)NC2=C(Cl)C(OC)=CC(OC)=C2Cl)C(NC(=O)C=C)=C1,[0.5567789077758789],0.84612834,0.9042658,0.82537395,0.0
COC1=CC=CC2=C1C1=C(N2)C2=C(CCC2)C2=C1C(=O)N(CN1CCN(C)CC1)C2=O,[0.602729082107544],0.8455644,0.011518345,0.7377535,0.0
NC(=N)C1=CC2=C(C=C1)N=C(N2)C(=O)C1=NC2=C(N1)C=CC(=C2)C(N)=N,[0.7468055486679077],0.8439066,0.001449876,0.8348859,0.0
CN[C@H]1CN2C(=O)NC3=CC=CC(C1)=C23,[0.3828495740890503],0.8418992,0.012547561,0.83467597,0.0
CC(C)N1N=C(C2=C1N=CN=C2N)C1=CC=CC(O)=C1,[0.48934218287467957],0.8376899,0.21622469,0.79206955,0.0
CC(C)N1N=C(C)N=C1C1=CN2CCOC3=CC(=CC=C3C2=N1)C1=CN(N=C1)C(C)(C)C(N)=O,[0.9118805527687073],0.83595794,0.06361423,0.7486632,0.0
COC1=CC2=NC=NC(NC3=CC(SC)=CC=C3)=C2C=C1OC,[0.291132390499115],0.8337574,0.18654114,0.81272733,0.0
CN1C2=C(N(CC3OCCO3)C=N2)C(=O)N(C)C1=O,[0.1673792600631714],0.82639277,0.018567562,0.8022733,0.0
CN1N=CC2=CC(OC3=C(F)C=C(NC(=O)C4=CC=C(C)N(C4=O)C4=CC=C(F)C=C4)C=C3)=C(C=C12)C1=CNN=C1,[0.49570432305336],0.8248691,0.028821567,0.85487396,0.0
[H][C@]12CN(C3=C(F)C=C4C(=O)C(=CN(C5CC5)C4=C3)C(O)=O)[C@]([H])(CN1C)C2,[0.0009774737991392612],0.81996304,0.0071397624,0.7840446,0.0
CN1N=NC2=C(N=CN2C1=O)C(N)=O,[0.6963223814964294],0.8180712,0.05875319,0.8588277,0.0
CC1(C)CCC(=CC1)C1=C(NC(=O)C2=NC=C(N2)C#N)C=CC(=N1)C1CC(C)(C)OC(C)(C)C1,[0.19629698991775513],0.8120225,0.06536426,0.7873583,0.0
CC1=CC=CC=C1C1=CC2=C(N1)C=C(C=C2)C(N)=N,[0.906557023525238],0.8040571,0.005910682,0.756453,0.0
CC1=C2N(C(=O)C(NC3=CC(N)=NC=N3)=C1)C1(CCCCC1)NC2=O,[0.5987724661827087],0.80327106,0.115112714,0.8867396,0.0
NC1=C2CCCC2=NC2=C1CCCC2,[0.7761583924293518],0.7978532,0.0008208017,0.7900851,0.0
FC1=CC=C(C(F)=C1)C1=CC(=CC2=C1CCC(=O)N2C1=C(Cl)C=CC=C1Cl)C1CCNCC1,[0.0910891741514206],0.7977429,0.018289985,0.7641233,0.0
[H][C@]1(CCCN1C(C)=O)C(O)=O,[0.3044980466365814],0.7971686,0.00018808039,0.77147055,0.0
[H][C@]12CN(C[C@]1([H])OCCN2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1C#N)C(O)=O,[7.009667024249211e-05],0.79706776,0.015829494,0.778513,0.0
CN(C)C=O,[0.9704446792602539],0.7955865,3.9693285e-05,0.7414994,0.0
C1CC1C1=NNC(NC2=CC=NC(NC3=CC4=C(NC=N4)C=C3)=N2)=C1,[0.3392261564731598],0.79089236,0.03154158,0.754943,0.0
CN1C2=C(N(CC(O)=O)C=N2)C(=O)N(C)C1=O,[0.6564797163009644],0.7885868,0.0048568114,0.72159314,0.0
ONC(=O)C1(CCOCC1)S(=O)(=O)C1=CC=C(OC2=CC=C(C=C2)C(F)(F)F)C=C1,[0.6873325705528259],0.7838571,0.0007353458,0.72533953,0.0
CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2,[0.03966732695698738],0.7826497,0.075782284,0.7567424,0.0
CO[C@@H](C)CN1C(=O)N(C)C2=C1C1=CC(=CC=C1N=C2)C1=CC(=CN=C1)C(C)(C)O,[0.5865334868431091],0.77874964,0.06135528,0.75404704,0.0
[H][C@@]1(CO[C@](C)(OC1)C(O)=O)OC(=O)N1CCN(CC1)C(=O)O[C@@]1([H])CO[C@](C)(OC1)C(O)=O,[0.1913338005542755],0.77369547,9.881303e-05,0.644811,0.0
CNC1=NC=C(C=C1C)C1=CC=C2C(=O)C(=CN(C3CC3)C2=C1C)C(O)=O,[0.01038815826177597],0.7735396,0.035425067,0.791495,0.0
CN1C(=O)C(C)=C2N(C(=O)N(C3CC3)C(=O)C2=C1NC1=CC=C(I)C=C1F)C1=CC(NC(C)=O)=CC=C1,[0.15442700684070587],0.7728555,0.22447708,0.85633796,0.0
CC1=CN2N=C(C=C2N=C1N1CC[C@H](N)C1)[C@@H]1CCCCN1C(=O)C1=CC(Cl)=CC=C1NS(C)(=O)=O,[0.01775076799094677],0.76411945,0.008326659,0.65951884,0.0
CNC(=C)C(O)=O,[0.9999979734420776],0.7608706,5.586249e-05,0.8001965,0.0
CN(C)S(=O)(=O)C1=CC=CC=C1NC1=NC(NC2=CC=C(CN3CCN(C)CC3)C=C2)=NC=C1Cl,[0.6819908618927002],0.75669295,0.35559154,0.6867541,0.0
CC(C)C1=C2N=C(N[C@H]3CC[C@H](N)CC3)C=C(NC3=CC=C(C=C3)S(=O)(=O)N(C)C)N2N=C1,[0.016943925991654396],0.7552708,0.039698504,0.64922494,0.0
CC1=CC=C(C=C1N1N=CC(C(=O)C2=CC=CC(=C2)C#N)=C1N)C(=O)NC1CC1,[0.18810078501701355],0.7550103,0.013549995,0.72906494,0.0
CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C4=C3C3=C2C1=C1C(C)=CC(O)=C2C(=O)C5=C(O)C=C(O)C4=C5C3=C12,[0.12549389898777008],0.75390285,0.00014625909,0.82397395,0.0
OB1OCC2=C1C=CC(OC1=CC=C(C=C1)C#N)=C2,[0.9070460796356201],0.74661434,0.00070743024,0.66827697,0.0
